Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Interacts with	DOI ID	Annotation	Keywords	Keyword ID	Pfam	CDD	InterPro	NCBIfam	Protein families	PANTHER	KEGG	MEROPS	CAZy	Gene Ontology (biological process)	Gene Ontology (GO)	GeneID
Q6FQR7	reviewed	SHE10_CANGA	Outer spore wall assembly protein SHE10 (Sensitivity to high expression protein 10)	SHE10 CAGL0I04092g	Candida glabrata (strain ATCC 2001 / BCRC 20586 / JCM 3761 / NBRC 0622 / NRRL Y-65 / CBS 138) (Yeast) (Nakaseomyces glabratus)	556		10.1038/nature02579	2.0	Coiled coil;Mitochondrion;Reference proteome;Ribonucleoprotein;Signal;Sporulation	KW-0175; KW-0496; KW-1185; KW-0687; KW-0732; KW-0749					SHE10 family		cgr:2889099;			sporulation resulting in formation of a cellular spore [GO:0030435]	mitochondrion [GO:0005739]; ribonucleoprotein complex [GO:1990904]; sporulation resulting in formation of a cellular spore [GO:0030435]	2889099;
Q6FW54	reviewed	IRC19_CANGA	Increased recombination centers protein 19	IRC19 RRG4 CAGL0D02860g	Candida glabrata (strain ATCC 2001 / BCRC 20586 / JCM 3761 / NBRC 0622 / NRRL Y-65 / CBS 138) (Yeast) (Nakaseomyces glabratus)	211		10.1038/nature02579	2.0	Reference proteome;Sporulation	KW-1185; KW-0749			IPR016613;		IRC19 family		cgr:2887207;			ascospore formation [GO:0030437]; double-strand break repair [GO:0006302]; mitotic recombination [GO:0006312]	ascospore formation [GO:0030437]; double-strand break repair [GO:0006302]; mitotic recombination [GO:0006312]	2887207;
Q6HEJ9	reviewed	TGL_BACHK	Protein-glutamine gamma-glutamyltransferase (EC 2.3.2.13) (Transglutaminase) (TGase)	tgl BT9727_3708	Bacillus thuringiensis subsp. konkukian (strain 97-27)	276		10.1128/jb.188.9.3382-3390.2006	2.0	Acyltransferase;Sporulation;Transferase	KW-0012; KW-0749; KW-0808	PF20085;		IPR020916;		Bacillus TGase family		btk:BT9727_3708;			sporulation resulting in formation of a cellular spore [GO:0030435]	protein-glutamine gamma-glutamyltransferase activity [GO:0003810]; sporulation resulting in formation of a cellular spore [GO:0030435]	45023850;
Q6HJ78	reviewed	RACA_BACHK	Chromosome-anchoring protein RacA	racA BT9727_2071	Bacillus thuringiensis subsp. konkukian (strain 97-27)	180		10.1128/jb.188.9.3382-3390.2006	2.0	Cell cycle;Cell division;Chromosome partition;Coiled coil;Cytoplasm;DNA-binding;Sporulation	KW-0131; KW-0132; KW-0159; KW-0175; KW-0963; KW-0238; KW-0749			IPR023522;		RacA family		btk:BT9727_2071;			asymmetric cell division [GO:0008356]; chromosome condensation [GO:0030261]; chromosome segregation [GO:0007059]; sporulation resulting in formation of a cellular spore [GO:0030435]	cytoplasm [GO:0005737]; double-stranded DNA binding [GO:0003690]; asymmetric cell division [GO:0008356]; chromosome condensation [GO:0030261]; chromosome segregation [GO:0007059]; sporulation resulting in formation of a cellular spore [GO:0030435]	45022176;
Q6HMB8	reviewed	HPR_BACHK	HTH-type transcriptional regulator Hpr (Protease production regulatory protein Hpr)	hpr BT9727_0964	Bacillus thuringiensis subsp. konkukian (strain 97-27)	185		10.1128/jb.188.9.3382-3390.2006	2.0	DNA-binding;Repressor;Sporulation;Transcription;Transcription regulation	KW-0238; KW-0678; KW-0749; KW-0804; KW-0805	PF01047;		IPR000835;IPR023488;IPR039422;IPR023187;IPR036388;IPR036390;			PTHR33164:SF58;PTHR33164;	btk:BT9727_0964;			negative regulation of DNA-templated transcription [GO:0045892]; response to stress [GO:0006950]; sporulation resulting in formation of a cellular spore [GO:0030435]	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; negative regulation of DNA-templated transcription [GO:0045892]; response to stress [GO:0006950]; sporulation resulting in formation of a cellular spore [GO:0030435]	93009973;
Q6HNK1	reviewed	SSPH_BACHK	Small, acid-soluble spore protein H (SASP H)	sspH BT9727_0523	Bacillus thuringiensis subsp. konkukian (strain 97-27)	59		10.1128/jb.188.9.3382-3390.2006	2.0	Sporulation	KW-0749	PF08141;		IPR012610;	TIGR02861;	SspH family		btk:BT9727_0523;			asexual sporulation [GO:0030436]; sporulation resulting in formation of a cellular spore [GO:0030435]	endospore-forming forespore [GO:0042601]; asexual sporulation [GO:0030436]; sporulation resulting in formation of a cellular spore [GO:0030435]	93010439;
Q6HPW9	reviewed	SP5G_BACHK	Putative septation protein SpoVG (Stage V sporulation protein G)	spoVG BT9727_0043	Bacillus thuringiensis subsp. konkukian (strain 97-27)	97		10.1128/jb.188.9.3382-3390.2006	2.0	Cell cycle;Cell division;Septation;Sporulation	KW-0131; KW-0132; KW-0717; KW-0749	PF04026;		IPR007170;IPR036751;		SpoVG family	PTHR38429;PTHR38429:SF1;	btk:BT9727_0043;			asexual sporulation [GO:0030436]; division septum assembly [GO:0000917]; sporulation resulting in formation of a cellular spore [GO:0030435]	asexual sporulation [GO:0030436]; division septum assembly [GO:0000917]; sporulation resulting in formation of a cellular spore [GO:0030435]	93011022;
Q6TU45	reviewed	SIGD_DICDI	Probable spore coat protein sigD (SrfA-induced gene D protein)	sigD DDB_G0267474	Dictyostelium discoideum (Social amoeba)	445		10.1128/ec.2.6.1327-1335.2003; 10.1038/nature03481; 10.1128/ec.3.2.564-566.2004	2.0	Reference proteome;Repeat;Signal;Sporulation	KW-1185; KW-0677; KW-0732; KW-0749	PF04562;		IPR007643;IPR003645;				ddi:DDB_G0267474;			sporulation resulting in formation of a cellular spore [GO:0030435]	spore wall [GO:0031160]; sporulation resulting in formation of a cellular spore [GO:0030435]	8616258;
Q733L9	reviewed	SSPP_BACC1	Small, acid-soluble spore protein P (SASP P)	sspP cotL BCE_3639	Bacillus cereus (strain ATCC 10987 / NRS 248)	44		10.1093/nar/gkh258	2.0	Sporulation	KW-0749	PF08179;		IPR012614;		SspP family		bca:BCE_3639;			asexual sporulation [GO:0030436]; sporulation resulting in formation of a cellular spore [GO:0030435]	asexual sporulation [GO:0030436]; sporulation resulting in formation of a cellular spore [GO:0030435]	
Q733M2	reviewed	SSPO_BACC1	Small, acid-soluble spore protein O (SASP O)	sspO cotK BCE_3636	Bacillus cereus (strain ATCC 10987 / NRS 248)	49		10.1093/nar/gkh258	2.0	Sporulation	KW-0749	PF08175;		IPR012613;	TIGR02864;	SspO family		bca:BCE_3636;			asexual sporulation [GO:0030436]; sporulation resulting in formation of a cellular spore [GO:0030435]	endospore-forming forespore [GO:0042601]; asexual sporulation [GO:0030436]; sporulation resulting in formation of a cellular spore [GO:0030435]	
Q733M9	reviewed	SSPN_BACC1	Small, acid-soluble spore protein N (SASP N)	sspN BCE_3629	Bacillus cereus (strain ATCC 10987 / NRS 248)	44		10.1093/nar/gkh258	2.0	Sporulation	KW-0749	PF08177;		IPR012612;		SspN family		bca:BCE_3629;			asexual sporulation [GO:0030436]; sporulation resulting in formation of a cellular spore [GO:0030435]	endospore-forming forespore [GO:0042601]; asexual sporulation [GO:0030436]; sporulation resulting in formation of a cellular spore [GO:0030435]	
Q738S2	reviewed	RACA_BACC1	Chromosome-anchoring protein RacA	racA BCE_2321	Bacillus cereus (strain ATCC 10987 / NRS 248)	180		10.1093/nar/gkh258	2.0	Cell cycle;Cell division;Chromosome partition;Coiled coil;Cytoplasm;DNA-binding;Sporulation	KW-0131; KW-0132; KW-0159; KW-0175; KW-0963; KW-0238; KW-0749			IPR023522;		RacA family		bca:BCE_2321;			asymmetric cell division [GO:0008356]; chromosome condensation [GO:0030261]; chromosome segregation [GO:0007059]; sporulation resulting in formation of a cellular spore [GO:0030435]	cytoplasm [GO:0005737]; double-stranded DNA binding [GO:0003690]; asymmetric cell division [GO:0008356]; chromosome condensation [GO:0030261]; chromosome segregation [GO:0007059]; sporulation resulting in formation of a cellular spore [GO:0030435]	
Q73CB7	reviewed	HPR_BACC1	HTH-type transcriptional regulator Hpr (Protease production regulatory protein Hpr)	hpr BCE_1149	Bacillus cereus (strain ATCC 10987 / NRS 248)	185		10.1093/nar/gkh258	2.0	DNA-binding;Repressor;Sporulation;Transcription;Transcription regulation	KW-0238; KW-0678; KW-0749; KW-0804; KW-0805	PF01047;		IPR000835;IPR023488;IPR039422;IPR023187;IPR036388;IPR036390;			PTHR33164:SF58;PTHR33164;	bca:BCE_1149;			negative regulation of DNA-templated transcription [GO:0045892]; response to stress [GO:0006950]; sporulation resulting in formation of a cellular spore [GO:0030435]	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; negative regulation of DNA-templated transcription [GO:0045892]; response to stress [GO:0006950]; sporulation resulting in formation of a cellular spore [GO:0030435]	
Q73DN1	reviewed	SSPH1_BACC1	Small, acid-soluble spore protein H 1 (SASP H 1)	sspH1 BCE_0681	Bacillus cereus (strain ATCC 10987 / NRS 248)	59		10.1093/nar/gkh258	2.0	Sporulation	KW-0749	PF08141;		IPR012610;	TIGR02861;	SspH family		bca:BCE_0681;			asexual sporulation [GO:0030436]; sporulation resulting in formation of a cellular spore [GO:0030435]	endospore-forming forespore [GO:0042601]; asexual sporulation [GO:0030436]; sporulation resulting in formation of a cellular spore [GO:0030435]	
Q73DY6	reviewed	SSPK_BACC1	Small, acid-soluble spore protein K (SASP K)	sspK BCE_0574	Bacillus cereus (strain ATCC 10987 / NRS 248)	52		10.1093/nar/gkh258	2.0	Sporulation	KW-0749	PF08176;		IPR012611;	TIGR03091;	SspK family		bca:BCE_0574;			asexual sporulation [GO:0030436]; sporulation resulting in formation of a cellular spore [GO:0030435]	endospore-forming forespore [GO:0042601]; asexual sporulation [GO:0030436]; sporulation resulting in formation of a cellular spore [GO:0030435]	
Q73FG0	reviewed	SP5G_BACC1	Putative septation protein SpoVG (Stage V sporulation protein G)	spoVG BCE_0046	Bacillus cereus (strain ATCC 10987 / NRS 248)	97		10.1093/nar/gkh258	2.0	Cell cycle;Cell division;Septation;Sporulation	KW-0131; KW-0132; KW-0717; KW-0749	PF04026;		IPR007170;IPR036751;		SpoVG family	PTHR38429;PTHR38429:SF1;	bca:BCE_0046;			asexual sporulation [GO:0030436]; division septum assembly [GO:0000917]; sporulation resulting in formation of a cellular spore [GO:0030435]	asexual sporulation [GO:0030436]; division septum assembly [GO:0000917]; sporulation resulting in formation of a cellular spore [GO:0030435]	
Q753T2	reviewed	SHE10_EREGS	Outer spore wall assembly protein SHE10 (Sensitivity to high expression protein 10)	SHE10 AFR244C	Eremothecium gossypii (strain ATCC 10895 / CBS 109.51 / FGSC 9923 / NRRL Y-1056) (Yeast) (Ashbya gossypii)	572		10.1126/science.1095781; 10.1534/g3.112.002881	2.0	Coiled coil;Mitochondrion;Reference proteome;Ribonucleoprotein;Signal;Sporulation	KW-0175; KW-0496; KW-1185; KW-0687; KW-0732; KW-0749					SHE10 family		ago:AGOS_AFR244C;			sporulation resulting in formation of a cellular spore [GO:0030435]	mitochondrion [GO:0005739]; ribonucleoprotein complex [GO:1990904]; sporulation resulting in formation of a cellular spore [GO:0030435]	4622054;
Q753Y5	reviewed	IRC19_EREGS	Increased recombination centers protein 19	IRC19 RRG4 AFR187C	Eremothecium gossypii (strain ATCC 10895 / CBS 109.51 / FGSC 9923 / NRRL Y-1056) (Yeast) (Ashbya gossypii)	213		10.1126/science.1095781; 10.1534/g3.112.002881	2.0	Reference proteome;Sporulation	KW-1185; KW-0749			IPR016613;		IRC19 family		ago:AGOS_AFR187C;			ascospore formation [GO:0030437]; double-strand break repair [GO:0006302]; mitotic recombination [GO:0006312]	ascospore formation [GO:0030437]; double-strand break repair [GO:0006302]; mitotic recombination [GO:0006312]	4621992;
Q754V0	reviewed	RMD9_EREGS	RNA-binding protein RMD9, mitochondrial	RMD9 AFL029W	Eremothecium gossypii (strain ATCC 10895 / CBS 109.51 / FGSC 9923 / NRRL Y-1056) (Yeast) (Ashbya gossypii)	667		10.1126/science.1095781; 10.1534/g3.112.002881	2.0	Membrane;Mitochondrion;Mitochondrion inner membrane;Phosphoprotein;Reference proteome;Sporulation;Transit peptide	KW-0472; KW-0496; KW-0999; KW-0597; KW-1185; KW-0749; KW-0809					RMD9 family		ago:AGOS_AFL029W;			sporulation resulting in formation of a cellular spore [GO:0030435]	mitochondrial inner membrane [GO:0005743]; sporulation resulting in formation of a cellular spore [GO:0030435]	4621752;
Q756X9	reviewed	SMA2_EREGS	Spore membrane assembly protein 2	SMA2 AER135W	Eremothecium gossypii (strain ATCC 10895 / CBS 109.51 / FGSC 9923 / NRRL Y-1056) (Yeast) (Ashbya gossypii)	385		10.1126/science.1095781; 10.1534/g3.112.002881	2.0	Membrane;Reference proteome;Sporulation;Transmembrane;Transmembrane helix	KW-0472; KW-1185; KW-0749; KW-0812; KW-1133					SMA2 family		ago:AGOS_AER135W;			sporulation resulting in formation of a cellular spore [GO:0030435]	prospore membrane [GO:0005628]; sporulation resulting in formation of a cellular spore [GO:0030435]	4621200;
Q759K9	reviewed	OSW5_EREGS	Outer spore wall protein 5	OSW5 ADR267W	Eremothecium gossypii (strain ATCC 10895 / CBS 109.51 / FGSC 9923 / NRRL Y-1056) (Yeast) (Ashbya gossypii)	157		10.1126/science.1095781; 10.1534/g3.112.002881	2.0	Membrane;Reference proteome;Sporulation;Transmembrane;Transmembrane helix	KW-0472; KW-1185; KW-0749; KW-0812; KW-1133	PF17062;		IPR031430;		OSW5 family		ago:AGOS_ADR267W;			sporulation resulting in formation of a cellular spore [GO:0030435]	membrane [GO:0016020]; sporulation resulting in formation of a cellular spore [GO:0030435]	4620525;
Q7WY58	reviewed	SSPJ_BACSU	Small, acid-soluble spore protein J (SASP J)	sspJ BSU33340	Bacillus subtilis (strain 168)	46		10.1038/36786; 10.1128/jb.180.24.6704-6712.1998	2.0	Direct protein sequencing;Reference proteome;Sporulation	KW-0903; KW-1185; KW-0749	PF09575;		IPR014220;	TIGR02863;			bsu:BSU33340;			sporulation resulting in formation of a cellular spore [GO:0030435]	sporulation resulting in formation of a cellular spore [GO:0030435]	2914269;
Q7WY59	reviewed	SSPG_BACSU	Small, acid-soluble spore protein G (SASP G)	sspG BSU32640	Bacillus subtilis (strain 168)	48		10.1038/36786; 10.1128/jb.180.24.6704-6712.1998	2.0	Direct protein sequencing;Reference proteome;Sporulation	KW-0903; KW-1185; KW-0749							bsu:BSU32640;			sporulation resulting in formation of a cellular spore [GO:0030435]	sporulation resulting in formation of a cellular spore [GO:0030435]	2914218;
Q7WY63	reviewed	ANTE_BACSU	Protein AntE	antE BSU25220	Bacillus subtilis (strain 168)	98		10.1038/36786; 10.1128/jb.181.1.353-356.1999	2.0	Reference proteome;Sporulation	KW-1185; KW-0749							bsu:BSU25220;			sporulation resulting in formation of a cellular spore [GO:0030435]	sporulation resulting in formation of a cellular spore [GO:0030435]	2914189;
Q7WY65	reviewed	SSPM_BACSU	Small, acid-soluble spore protein M (SASP M)	sspM BSU22290	Bacillus subtilis (strain 168)	34		10.1038/36786; 10.1128/jb.180.24.6704-6712.1998; 10.1016/s0378-1119(00)00125-6	2.0	Direct protein sequencing;Reference proteome;Sporulation	KW-0903; KW-1185; KW-0749			IPR048194;	NF041478;			bsu:BSU22290;			sporulation resulting in formation of a cellular spore [GO:0030435]	sporulation resulting in formation of a cellular spore [GO:0030435]	2914288;86873232;
Q7WY66	reviewed	SSPL_BACSU	Small, acid-soluble spore protein L (SASP L)	sspL BSU22000	Bacillus subtilis (strain 168)	42		10.1038/36786; 10.1128/jb.180.24.6704-6712.1998; 10.1016/s0378-1119(99)00124-9	2.0	Direct protein sequencing;Reference proteome;Sporulation	KW-0903; KW-1185; KW-0749			IPR017526;	TIGR03093;			bsu:BSU22000;			sporulation resulting in formation of a cellular spore [GO:0030435]	sporulation resulting in formation of a cellular spore [GO:0030435]	2914255;86873266;
Q7WY69	reviewed	SSPN_BACSU	Small, acid-soluble spore protein N (SASP N)	sspN BSU18020	Bacillus subtilis (strain 168)	48		10.1038/36786; 10.1099/mic.0.027839-0; 10.1016/s0378-1119(99)00124-9	2.0	Reference proteome;Sporulation	KW-1185; KW-0749	PF08177;		IPR012612;		SspN family		bsu:BSU18020;			asexual sporulation [GO:0030436]; sporulation resulting in formation of a cellular spore [GO:0030435]	endospore-forming forespore [GO:0042601]; asexual sporulation [GO:0030436]; sporulation resulting in formation of a cellular spore [GO:0030435]	2914184;
Q7WY75	reviewed	SSPK_BACSU	Small, acid-soluble spore protein K (SASP K)	sspK BSU08550	Bacillus subtilis (strain 168)	50		10.1038/36786; 10.1128/jb.180.24.6704-6712.1998; 10.1016/s0378-1119(00)00125-6	2.0	Direct protein sequencing;Reference proteome;Sporulation	KW-0903; KW-1185; KW-0749	PF08176;		IPR012611;	TIGR03091;	SspK family		bsu:BSU08550;			asexual sporulation [GO:0030436]; sporulation resulting in formation of a cellular spore [GO:0030435]	endospore-forming forespore [GO:0042601]; asexual sporulation [GO:0030436]; sporulation resulting in formation of a cellular spore [GO:0030435]	2914224;86874692;
Q813W6	reviewed	HPR_BACCR	HTH-type transcriptional regulator Hpr (Protease production regulatory protein Hpr)	hpr BC_1047	Bacillus cereus (strain ATCC 14579 / DSM 31 / CCUG 7414 / JCM 2152 / NBRC 15305 / NCIMB 9373 / NCTC 2599 / NRRL B-3711)	185		10.1038/nature01582	2.0	DNA-binding;Reference proteome;Repressor;Sporulation;Transcription;Transcription regulation	KW-0238; KW-1185; KW-0678; KW-0749; KW-0804; KW-0805	PF01047;		IPR000835;IPR023488;IPR039422;IPR023187;IPR036388;IPR036390;			PTHR33164:SF58;PTHR33164;	bce:BC1047;			negative regulation of DNA-templated transcription [GO:0045892]; regulation of DNA-templated transcription [GO:0006355]; response to stress [GO:0006950]; sporulation resulting in formation of a cellular spore [GO:0030435]	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; negative regulation of DNA-templated transcription [GO:0045892]; regulation of DNA-templated transcription [GO:0006355]; response to stress [GO:0006950]; sporulation resulting in formation of a cellular spore [GO:0030435]	72447830;
Q819L3	reviewed	TGL_BACCR	Protein-glutamine gamma-glutamyltransferase (EC 2.3.2.13) (Transglutaminase) (TGase)	tgl BC_3963	Bacillus cereus (strain ATCC 14579 / DSM 31 / CCUG 7414 / JCM 2152 / NBRC 15305 / NCIMB 9373 / NCTC 2599 / NRRL B-3711)	276		10.1038/nature01582	2.0	Acyltransferase;Reference proteome;Sporulation;Transferase	KW-0012; KW-1185; KW-0749; KW-0808	PF20085;		IPR020916;		Bacillus TGase family		bce:BC3963;			sporulation resulting in formation of a cellular spore [GO:0030435]	protein-glutamine gamma-glutamyltransferase activity [GO:0003810]; sporulation resulting in formation of a cellular spore [GO:0030435]	72450645;
Q81AF2	reviewed	SSPP_BACCR	Small, acid-soluble spore protein P (SASP P)	sspP BC_3620	Bacillus cereus (strain ATCC 14579 / DSM 31 / CCUG 7414 / JCM 2152 / NBRC 15305 / NCIMB 9373 / NCTC 2599 / NRRL B-3711)	44		10.1038/nature01582	2.0	Reference proteome;Sporulation	KW-1185; KW-0749	PF08179;		IPR012614;		SspP family		bce:BC3620;			asexual sporulation [GO:0030436]; sporulation resulting in formation of a cellular spore [GO:0030435]	asexual sporulation [GO:0030436]; sporulation resulting in formation of a cellular spore [GO:0030435]	
Q81AF5	reviewed	SSPO_BACCR	Small, acid-soluble spore protein O (SASP O)	sspO BC_3617	Bacillus cereus (strain ATCC 14579 / DSM 31 / CCUG 7414 / JCM 2152 / NBRC 15305 / NCIMB 9373 / NCTC 2599 / NRRL B-3711)	49		10.1038/nature01582	2.0	Reference proteome;Sporulation	KW-1185; KW-0749	PF08175;		IPR012613;	TIGR02864;	SspO family		bce:BC3617;			asexual sporulation [GO:0030436]; sporulation resulting in formation of a cellular spore [GO:0030435]	endospore-forming forespore [GO:0042601]; asexual sporulation [GO:0030436]; sporulation resulting in formation of a cellular spore [GO:0030435]	
